Faridabad,1280909,28.433333,77.316667
Lusaka,1267458,-15.4166667,28.2833333
Kalyan,1262355,19.25,73.15
San Antonio,1256810,29.4238889,-98.4933333
Stockholm,1253309,59.3333333,18.05
Beirut,1252010,33.8719444,35.5097222
Bayrut,1252010,33.8719444,35.5097222
Shiraz,1249972,29.6036,52.5388
Adana,1249680,37.001667,35.328889
Munich,1246133,48.15,11.583333
Palembang,1241334,-2.916667,104.75
Port-Au-Prince,1234750,18.5391667,-72.335
Nezahualcoyotl,1232565,19.413611,-99.033056
Peshawar,1219248,34.007778,71.573333
Rosario,1218497,-32.9511111,-60.6663889
Davao,1212285,7.073056,125.612778
Dallas,1211704,32.7833333,-96.8
Mandalay,1208227,22.0,96.0833333
Almaty,1204820,43.25,76.95
Mecca,1199659,21.4266667,39.8261111
Ghaziabad,1199306,28.666667,77.433333
Anshan,1199275,41.1236111,122.99
Xuzhou,1199193,34.2669444,117.1916667
Depok,1198195,-6.343333,106.498889
Maputo,1191613,-25.9652778,32.5891667
Freetown,1190761,8.49,-13.2341667
Fuzhou,1179720,26.0613889,119.3061111
Rajkot,1177434,22.3,70.783333
Guiyang,1171633,26.5833333,106.7166667
Goiania,1171209,-16.666667,-49.266667
Guarulhos,1169601,-23.466667,-46.533333
Varanasi,1164520,25.333333,83.0
Fez,1160239,34.0527778,-4.9827778
Milan,1156903,45.466667,9.2
Prague,1154508,50.0833333,14.4666667
Tripoli,1150990,32.8925,13.18
Port Harcourt,1148753,4.7891667,6.9986111
Hiroshima,1143850,34.4,132.45
Managua,1140499,12.1508333,-86.2683333
Dubai,1137376,25.2522222,55.28
Samara,1134742,53.1835,50.1182
Omsk,1129289,55.0,73.4
Benin,1125126,6.3333333,5.6333333
Monterrey,1122912,25.666667,-100.316667
Baku,1116513,40.3952778,49.8822222
Brazzaville,1115773,-4.2591667,15.2847222
Belgrade,1115200,44.818611,20.468056
Leon,1114662,21.116667,-101.666667
Maiduguri,1112511,11.845,13.16
Wuxi,1108647,31.5772222,120.2938889
Kazan,1104750,55.75,49.1333333
Yerevan,1093499,40.1811111,44.5136111
Amritsar,1092528,31.633056,74.865556
Copenhagen,1089958,55.666667,12.583333
Taichung,1083582,24.1433333,120.6813889
Rostov-Na-Donu,1074495,47.2363889,39.7138889
Adelaide,1074168,-34.933333,138.6
Allahabad,1073544,25.45,81.85
Gaziantep,1066561,37.059444,37.3825
Visakhapatnam,1063293,17.7,83.3
Chelyabinsk,1062931,55.1544444,61.4297222
Sofia,1062065,42.6833333,23.3166667
Datong,1052678,40.0416667,113.5972222
Tbilisi,1049516,41.725,44.7908333
Sendai,1037569,38.2547222,140.8847222
Xianyang,1034081,34.3388889,108.7119444
Ufa,1033350,54.775,56.0375
Campinas,1031573,-22.9,-47.083333
Ouagadougou,1031330,12.3702778,-1.5247222
Jabalpur,1030276,23.166667,79.95
Haora,1027771,22.589167,88.310278
Huainan,1027655,32.6263889,116.9969444
Dublin,1024027,53.3330556,-6.2488889
Kunming,1023674,25.0388889,102.7183333
Brussels,1019022,50.833333,4.333333
Aurangabad,1016520,19.883333,75.333333
Qom,1011103,34.6401,50.8764
Volgograd,1010331,48.8047222,44.5858333
Shenzhen,1002592,22.5333333,114.1333333
Nova Iguacu,1002129,-22.757222,-43.448889
Rongcheng,1001985,23.5297222,116.3655556
Odesa,1001553,46.466667,30.733333
Kitakyushu,997545,33.8333333,130.8333333
Sholapur,997358,17.683333,75.916667
Baoding,995652,38.8511111,115.4902778
Benxi,987717,41.2886111,123.765
Zapopan,987555,20.716667,-103.4
Birmingham,984336,52.466667,-1.916667
Perm,982428,58.0,56.25
Naples,981284,40.833333,14.25
Srinagar,975926,34.092222,74.802222
Zaria,975228,11.0666667,7.7
Guatemala City,973208,14.6211111,-90.5269444
Guatemala,973208,14.6211111,-90.5269444
Mendoza,973047,-32.8833333,-68.8166667
Cologne,968823,50.933333,6.95
Calgary,968475,51.083333,-114.083333
Port Elizabeth,967722,-33.9666667,25.5833333
Maceio,955010,-9.666667,-35.716667
Cartagena,952036,10.3997222,-75.5144444
Changzhou,949018,31.7833333,119.9666667
Ranchi,945079,23.35,85.333333
Marrakesh,942631,31.6333333,-8.0
Sao Goncalo,939101,-22.800278,-43.025556
Monrovia,935427,6.3105556,-10.8047222
Irbil,932854,36.19,44.0088889
Jodhpur,921540,26.286667,73.03
Chiba,919746,35.6,140.1166667
Sao Luis,917252,-2.516667,-44.266667
Chandigarh,914374,30.737222,76.787222
Madurai,909988,9.933333,78.116667
Krasnoyarsk,907460,56.0097222,92.7916667
Huaibei,903039,33.9744444,116.7916667
Cochabamba,900440,-17.3833333,-66.15
Guwahati,899132,26.183333,91.733333
Aba,897613,5.1166667,7.3666667
San Jose,897460,37.3394444,-121.8938889
Bulawayo,897249,-20.15,28.5833333
Pingdingshan,889675,33.7408333,113.3063889
Detroit,884941,42.3313889,-83.0458333
Gwalior,882551,26.223611,78.179167
Qiqihar,882364,47.3408333,123.9672222
Klang,879887,3.0333333,101.45
Konya,876004,37.865556,32.4825
Mbuji-Mayi,874974,-6.15,23.6
Vijayawada,874684,16.516667,80.616667
Ottawa,874433,45.416667,-75.7
Maisuru,868385,12.307222,76.649722
Wenzhou,865672,28.0191667,120.6544444
Saratov,863734,51.5666667,46.0333333
Ahvaz,854980,31.3203,48.6693
Tegucigalpa,850961,14.1,-87.2166667
Turin,846489,45.05,7.666667
Naucalpan,846222,19.479444,-99.238333
Ulaanbaatar,844786,47.9166667,106.9166667
Arequipa,844000,-16.3988889,-71.535
Voronezh,840590,51.6663889,39.17
Padang,840458,-0.95,100.35
Hubli,840285,15.35,75.166667
Lvov,830000,49.833333,24.0
Tucuman,828402,-26.8166667,-65.2166667
Tangier,825316,35.7847222,-5.8127778
Edmonton,822319,53.55,-113.5
Duque De Caxias,818339,-22.786667,-43.308333
Jos,816876,9.9166667,8.9
Ilorin,814246,8.5,4.55
La Paz,812819,-16.5,-68.15
Barquisimeto,809564,10.0738889,-69.3227778
Oslo,808690,59.916667,10.75
Nanning,803788,22.8166667,108.3166667
Johor Bahru,802525,1.4666667,103.75
Bandar Lampung,800446,-5.45,105.266667
Mombasa,799727,-4.05,39.6666667
Asgabat,797900,37.95,58.3833333
Jacksonville,797557,30.3319444,-81.6558333
Zaporizhzhya,796213,47.816667,35.183333
Marseille,792823,43.3,5.4
Kathmandu,790612,27.7166667,85.3166667
Jalandhar,785234,31.325556,75.579167
Thiruvananthapuram,784223,8.506944,76.956944
Sakai,782347,34.5833333,135.4666667
Anyang,781129,36.0994444,114.3288889
Selam,778462,11.65,78.166667
Tiruchchirappalli,775551,10.805,78.685556
Hohhot,774477,40.8105556,111.6522222
Niamey,774245,13.5166667,2.1166667
Niamey,774245,13.6666667,1.7833333
Indianapolis,773283,39.7683333,-86.1580556
Valencia,769897,39.466667,-0.366667
Bogor,769328,-6.594444,106.789167
Xining,767531,36.6166667,101.7666667
Kermanshah,766742,34.314167,47.065
Liuzhou,763168,24.3125,109.3886111
Kota,763141,25.183333,75.833333
Natal,763057,-5.783333,-35.216667
Bhubaneswar,762307,20.233333,85.833333
Qinhuangdao,759718,39.9316667,119.5883333
Hengyang,759602,26.8880556,112.615
Antalya,758603,36.9125,30.689722
Cebu,758597,10.311111,123.891667
Cracow,755050,50.083333,19.916667
Aligarh,753280,27.883333,78.083333
Pietermaritzburg,750864,-29.6166667,30.3833333
Taian,750340,36.1852778,117.12
Trujillo,750004,-8.1166667,-79.0333333
Malang,746780,-7.9797,112.6304
Ciudad Guayana,746606,8.3533333,-62.6527778
Amsterdam,745811,52.35,4.9166667
Kigali,745526,-1.9536111,30.0605556
Bareli,745509,28.35,79.416667
Teresina,744526,-5.083333,-42.816667
Xinxiang,743601,35.3088889,113.8672222
Sao Bernardo Do Campo,743386,-23.7,-46.55
Hegang,743307,47.4,130.3666667
Riga,742570,56.95,24.1
Columbus,736836,39.9611111,-82.9988889
Oyo,736113,7.85,3.9333333
Tainan,734314,22.9933333,120.2036111
Quetta,733970,30.187222,67.0125
San Francisco,732072,37.775,-122.4183333
Campo Grande,729164,-20.45,-54.616667
Athens,729139,37.9833333,23.7333333
Guadalupe,724949,25.683333,-100.25
Cucuta,721406,7.8833333,-72.5052778
Moradabad,721210,28.833333,78.783333
Langfang,720119,39.5097222,116.6947222
Ningbo,719867,29.875,121.5419444
Yantai,719332,37.5333333,121.4
Tolyatti,718495,53.5233333,49.4125
Merida,717196,20.966667,-89.616667
Tlalnepantla,715798,19.526944,-99.221667
Jerusalem,714685,31.78,35.23
Chisinau,713805,47.0055556,28.8575
Nouakchott,709835,18.0863889,-15.9752778
