Song Name,Artist,City,Rank
Scorpio,Moneybagg Yo,"Washington, D.C.",4
The Cowboy In Me (Yellowstone Edition),Tim McGraw,"Washington, D.C.",5
Big Energy,Latto,"Washington, D.C.",6
Pressure,Ari Lennox,"Washington, D.C.",7
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic","Washington, D.C.",8
Pope Is A Rockstar,SALES,"Washington, D.C.",9
Hello It's Me,Todd Rundgren,"Washington, D.C.",10
Super Gremlin,Kodak Black,"Washington, D.C.",11
Somethin About Ya (Acoustic),J.Howell,"Washington, D.C.",12
Heat Waves,Glass Animals,"Washington, D.C.",13
Your Turn,"Ty Dolla $ign Feat. Musiq Soulchild, Tish Hyman & 6LACK","Washington, D.C.",14
Easy On Me,Adele,"Washington, D.C.",15
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,"Washington, D.C.",16
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,"Washington, D.C.",17
abcdefu,GAYLE,"Washington, D.C.",18
323 Go Crazy,DOM KENNEDY,"Washington, D.C.",19
Countless Times,Marzz,"Washington, D.C.",20
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Philadelphia,1
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Philadelphia,2
I Hate U,SZA,Philadelphia,3
Happier Than Ever,Billie Eilish,Philadelphia,4
abcdefu,GAYLE,Philadelphia,5
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Philadelphia,6
Pope Is A Rockstar,SALES,Philadelphia,7
Scorpio,Moneybagg Yo,Philadelphia,8
Super Gremlin,Kodak Black,Philadelphia,9
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,Philadelphia,10
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,Philadelphia,11
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,Philadelphia,12
Need To Know,Doja Cat,Philadelphia,13
Better Days,"NEIKED, Mae Muller & Polo G",Philadelphia,14
Poke It Out,Wale Feat. Cool & Dre & J. Cole,Philadelphia,15
Easy On Me,Adele,Philadelphia,16
