Song Name,Artist,Importance Score,Rank in Top US Chart,Number of Cities where Song Broke Top20,Broke USTop20 Charts,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Woonsocket,Worcester,Yakima,Youngstown,Yuma
Barracuda,Heart,211.45,,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bazinga,SB19,211.1,,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Lies,Yung Bleu & Kehlani,203.4,44.0,25,True,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,13.0,,17.0,,,,,,,,,10.0,,,,,,14.0,14.0,,,,,,,,,,11.0,17.0,,,,,,4.0,10.0,,,,,,,,,,,,,,,,,,14.0,,16.0,,,,18.0,,8.0,,,,,,20.0,,,,16.0,,,,15.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,14.0,13.0,,,,,,,,,,,,,,,,,,,,19.0,10.0,,,,,,,,,,,,,,,,,,18.0,,,,,
Beautiful Strangers,Kevin Morby,211.05,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer Don't,Morgan Wallen,211.25,,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beggin,Måneskin,193.25,25.0,48,True,7.0,9.0,,20.0,,,,14.0,,,,,,,,17.0,,,,3.0,19.0,,,,,,,12.0,,,,,6.0,,,,,,17.0,18.0,,,,,,,,12.0,,9.0,,,,,,,,,,,,,,,14.0,6.0,,,,,,13.0,,,,,,15.0,13.0,,,,13.0,,18.0,,,,,,,19.0,,,,10.0,,,,,,16.0,,,,,,,15.0,1.0,15.0,,,,,20.0,,,,,,,13.0,,,,,20.0,15.0,,,20.0,20.0,,11.0,18.0,,,,,,,,18.0,11.0,14.0,,9.0,,,,,,,,6.0,,,,,,,,,,,,,,,15.0,,,8.0,,16.0,13.0,,,,8.0,,,,,,,,,,12.0,,,,,20.0,,,3.0,,10.0,
Believe For It,CeCe Winans,211.95,,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe What I Say,Kanye West,211.85,,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Days,NEIKED & Mae Muller Feat. Polo G,129.9,8.0,143,True,,,,6.0,15.0,4.0,15.0,10.0,11.0,,,,14.0,7.0,,,,13.0,5.0,13.0,15.0,,,3.0,11.0,,,14.0,6.0,17.0,,10.0,4.0,6.0,,,,,4.0,13.0,14.0,17.0,6.0,9.0,,15.0,15.0,15.0,,2.0,,14.0,3.0,17.0,13.0,15.0,,,8.0,,10.0,8.0,16.0,15.0,,,6.0,17.0,9.0,17.0,17.0,12.0,6.0,3.0,2.0,6.0,9.0,,2.0,,19.0,4.0,15.0,6.0,9.0,3.0,11.0,6.0,6.0,,7.0,4.0,,13.0,5.0,4.0,14.0,11.0,9.0,14.0,5.0,2.0,16.0,18.0,6.0,,,20.0,12.0,7.0,,,,5.0,19.0,4.0,17.0,11.0,13.0,,4.0,,8.0,,,16.0,11.0,,10.0,9.0,5.0,12.0,4.0,,13.0,11.0,14.0,7.0,,7.0,,,,14.0,12.0,13.0,6.0,2.0,,2.0,13.0,3.0,,18.0,7.0,3.0,,3.0,,,,3.0,20.0,9.0,7.0,6.0,,12.0,,6.0,,2.0,,9.0,17.0,6.0,6.0,11.0,4.0,5.0,6.0,5.0,16.0,7.0,10.0,6.0,5.0,,6.0,9.0,2.0,8.0,,3.0,,16.0,10.0,,16.0,20.0,5.0,10.0
Big Energy,Latto,82.0,2.0,172,True,1.0,1.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,,8.0,,8.0,1.0,10.0,20.0,4.0,19.0,,8.0,11.0,8.0,,8.0,15.0,4.0,17.0,,7.0,3.0,,3.0,5.0,3.0,,5.0,8.0,,,10.0,4.0,4.0,4.0,,9.0,8.0,4.0,4.0,4.0,6.0,6.0,6.0,10.0,2.0,6.0,3.0,,5.0,9.0,,7.0,4.0,10.0,12.0,,9.0,2.0,,6.0,10.0,6.0,3.0,4.0,1.0,10.0,2.0,6.0,18.0,4.0,8.0,4.0,15.0,2.0,14.0,2.0,2.0,6.0,11.0,5.0,9.0,3.0,,,3.0,,8.0,3.0,3.0,,4.0,2.0,5.0,5.0,4.0,7.0,3.0,6.0,,5.0,,3.0,4.0,4.0,2.0,13.0,1.0,4.0,19.0,10.0,5.0,2.0,8.0,4.0,4.0,,6.0,2.0,13.0,,8.0,3.0,3.0,8.0,,9.0,2.0,3.0,2.0,6.0,3.0,,13.0,,4.0,13.0,8.0,3.0,1.0,10.0,6.0,2.0,2.0,2.0,1.0,3.0,4.0,17.0,2.0,17.0,,7.0,4.0,3.0,2.0,6.0,4.0,7.0,2.0,,13.0,6.0,9.0,,6.0,3.0,7.0,9.0,5.0,1.0,12.0,10.0,4.0,2.0,6.0,4.0,2.0,6.0,2.0,2.0,2.0,,1.0,3.0,4.0,10.0,5.0,3.0,,6.0,6.0,12.0,2.0
