OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
11515,2721 HYDE ST,Grandeho's Kamekyo,HYDE,SIDEWALK,2,4,,2015,9,37.805917,-122.420497,POINT (-122.42049 37.805912),98,6,6,32,23,2,,98
12221,1811 HAIGHT ST,Murio's Trophy Room,HAIGHT,SIDEWALK,2,4,,2015,1,37.769195,-122.452167,POINT (-122.452156 37.76919),25,7,11,3,91,,,25
8836,501 Octavia Street,Boulangerie,Octavia Street,SIDEWALK,3,6,,2018,12,0,0,POINT (-122.4249 37.77681),22,4,11,9,70,,,22
11026,1550 POWELL ST,UNKNOWN,POWELL,SIDEWALK,1,2,,2006,0,37.799019,-122.410354,POINT (-122.41034 37.799015),106,6,3,6,16,,,106
14252,506 Broadway,,Broadway,SIDEWALK,2,4,,2021,7,,,POINT (-122.40562 37.798),106,6,3,23,47,1,,106
11895,32 OTIS ST,City Ballet School,OTIS,SIDEWALK,2,4,,2004,0,37.772796,-122.419561,POINT (-122.41955 37.772793),32,1,10,20,89,,1,32
11167,1246 FOLSOM ST,UNKNOWN,FOLSOM,SIDEWALK,1,2,,2005,0,37.774584,-122.410981,POINT (-122.410965 37.77458),32,1,10,34,35,,,32
12645,5901 Geary Blvd,First Cake,Geary Blvd,SIDEWALK,1,2,,2019,12,37.78012562,-122.48267169,POINT (-122.48266 37.78012),8,8,4,29,146,,,8
12189,4040 24TH ST,Zephyr Real Estate,24TH,SIDEWALK,1,2,,2015,1,37.751615,-122.432729,POINT (-122.43272 37.75161),84,3,5,22,86,12,,84
11616,2174 Market Street,Aatxe (Café Du Nord),MARKET,ROADWAY,5,10,,2017,5,37.766449,-122.430527,POINT (-122.43051 37.766445),28,3,5,5,90,9,,28
14166,640 Columbus Ave,,Columbus Ave,SIDEWALK,3,6,,2021,3,,,POINT (-122.410614 37.800613),106,6,3,23,47,,,106
9998,579 HOWARD ST,Kate O'Brien Irish Pub and Grill,HOWARD,SIDEWALK,1,2,,2004,0,37.78705,-122.397469,POINT (-122.39745 37.787045),32,1,10,8,25,3,,32
13579,2600 clay,Alta Plaza Park,clay,SIDEWALK,2,4,,2020,5,,,POINT (-122.436005 37.790485),102,4,6,30,7,,,102
8641,2219 Irving St,East West Bank,Irving Street,SIDEWALK,1,2,,2017,7,0,0,POINT (-122.48179 37.763107),39,10,7,35,62,,,39
10530,1128 VALENCIA ST,AptandUK,VALENCIA,SIDEWALK,1,2,,0,0,37.754677,-122.421187,POINT (-122.42117 37.754673),53,3,5,20,176,,,53
12617,401 Geary,Park Presidio Methodist Church,Geary,SIDEWALK,2,4,,2019,12,37.78712007,-122.41003655,POINT (-122.41003 37.787117),20,6,3,36,20,5,1,20
9926,3150 18TH ST,ActivSpace Treat Street Bicycle Works,18TH,SIDEWALK,1,2,,2011,3,37.762694,-122.414243,POINT (-122.41423 37.762688),53,3,2,20,169,,,53
10953,1730 FILLMORE ST,Extreme Pizza,FILLMORE,SIDEWALK,1,2,,2006,0,37.78569,-122.43293,POINT (-122.432915 37.785686),101,4,11,15,4,,,101
12662,689 Spruce Street,,Spruce Street,SIDEWALK,1,2,,2019,12,37.78214065,-122.45326788,POINT (-122.453255 37.782135),11,8,6,31,77,,,11
11185,214 TOWNSEND ST,UNKNOWN,TOWNSEND,SIDEWALK,1,2,,0,0,37.779092,-122.393637,POINT (-122.39362 37.779087),32,1,10,34,179,,,32
10773,803 VALENCIA ST,Art Mart Store,VALENCIA,SIDEWALK,1,2,,2010,0,37.759943,-122.421116,POINT (-122.421104 37.759937),53,3,2,20,177,,,53
10794,2125 HARRISON ST,Like Twice,HARRISON,SIDEWALK,2,4,,2013,7,37.763256,-122.412546,POINT (-122.41253 37.763252),53,3,2,20,169,,,53
8804,325 Bay Street,Project Zen,Bay Street,SIDEWALK,1,2,,2018,11,0,0,POINT (-122.412605 37.80559),106,6,3,23,24,2,,106
10586,2217 UNION ST,Chez Moi,UNION,SIDEWALK,1,2,,2002,0,37.796891,-122.435837,POINT (-122.43582 37.796886),15,4,6,13,81,,,15
12338,478 OFARRELL ST,UNKNOWN,OFARRELL,SIDEWALK,1,2,,0,0,37.786141,-122.41239,POINT (-122.41238 37.786137),20,5,10,36,19,6,1,20
11996,3821 24TH ST,Noe Valley Wine Merchants,24TH,SIDEWALK,1,2,,2012,8,37.751414,-122.427928,POINT (-122.42792 37.751408),84,3,5,22,84,12,,84
14419,555 Cole St.,,Cole St.,SIDEWALK,2,4,,2021,12,,,POINT (-122.4503 37.770008),25,7,11,3,91,,,25
9108,839 LARKIN ST,Fleet Wood,LARKIN,SIDEWALK,3,6,,2015,10,37.785753,-122.418106,POINT (-122.41809 37.785748),20,5,10,36,101,10,1,20
12423,Southwest corner of intersection at Lyon and Haight,Buena vista park 2,HAIGHT,SIDEWALK,1,2,,2015,10,37.770565,-122.442023,POINT (-122.44201 37.77056),112,7,5,3,183,,,112
12529,1312 Fulton Street,Apartment/Residential,Fulton Street,SIDEWALK,1,2,,2019,12,37.77682208,-122.43850872,POINT (-122.43849 37.776817),97,7,11,39,38,,,97
10662,650 FLORIDA ST,In-Symmetry,FLORIDA,SIDEWALK,2,4,,2012,8,37.761029,-122.411493,POINT (-122.411476 37.761024),53,3,2,20,169,,,53
10718,1828 CLEMENT ST,dental office,CLEMENT,SIDEWALK,1,2,,2004,0,37.782528,-122.478985,POINT (-122.47897 37.782524),8,8,4,29,28,,,8
