geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.396689694 37.7904610684),37.79046107,-122.3966897,2017,"{""type"":""Point"",""coordinates"":[-122.396689694,37.7904610684]}",0,1,0,0,0,0,1,0,0,0,0,0,"['FREMONT ST', 'MISSION ST']",0,1,0,0,1,0
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2007,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",1,2,0,0,0,1,0,2,0,0,0,0,"['02ND ST', 'FOLSOM ST']",1,2,0,1,0,2
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2008,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",1,1,0,0,1,0,0,1,0,0,0,0,"['02ND ST', 'FOLSOM ST']",1,1,1,0,0,1
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2011,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",0,1,0,0,0,0,1,0,0,0,0,0,"['02ND ST', 'FOLSOM ST']",0,1,0,0,1,0
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2012,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",0,1,0,0,0,0,0,1,0,0,0,0,"['02ND ST', 'FOLSOM ST']",0,1,0,0,0,1
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2014,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",2,0,0,0,0,2,0,0,0,0,0,0,"['02ND ST', 'FOLSOM ST']",2,0,0,2,0,0
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2016,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",1,0,0,0,1,0,0,0,0,0,0,0,"['02ND ST', 'FOLSOM ST']",1,0,1,0,0,0
POINT(-122.396705177 37.785542131),37.78554213,-122.3967052,2017,"{""type"":""Point"",""coordinates"":[-122.396705177,37.785542131]}",0,1,0,0,0,0,0,1,0,0,0,0,"['02ND ST', 'FOLSOM ST']",0,1,0,0,0,1
POINT(-122.396708938 37.7400783685),37.74007837,-122.3967089,2017,"{""type"":""Point"",""coordinates"":[-122.396708938,37.7400783685]}",0,1,0,0,0,0,0,1,0,0,0,0,"['MCKINNON AVE', 'RANKIN ST']",0,1,0,0,0,1
POINT(-122.396771573 37.7954661149),37.79546611,-122.3967716,2008,"{""type"":""Point"",""coordinates"":[-122.396771573,37.7954661149]}",1,0,0,0,0,1,0,0,0,0,0,0,"['CLAY ST', 'DRUMM ST']",1,0,0,1,0,0
