Importance Score,Song Name,Artist,Rank in Top US Chart,Number of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
20.36,Do It to It,Acraze Feat. Cherish,,17,False,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,15.0,,,,,14.0,,,,,,,,6.0,,,,,,,,,16.0,,,,,,,,,,,,,13.0,,11.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,15.0,,16.0,,,19.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
20.39,Me or Sum,Nardo Wick Feat. Future & Lil Baby,,11,False,,,,,,,,,,,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,11.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.44,Right Down The Line,Gerry Rafferty,,17,False,,,,,,,,20.0,,,,,,,,,,9.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,17.0,,,,,16.0,,,,15.0,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,19.0,,,18.0,17.0,,17.0,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,9.0,,
20.48,Easy On Me,Adele,,17,False,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,17.0,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,16.0,,18.0,16.0,,12.0,,,,,,,,,,,,19.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,18.0,,,,,,,11.0,,,13.0,,7.0,,,,,
20.49,Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,,10,False,,,,,,,,,,,,,,,11.0,,,,,,,11.0,,,,,,,,,,,,,,,10.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,9.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.56,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,,9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,9.0,,,,,,,7.0,,,17.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.58,Need To Know,Doja Cat,,16,False,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,19.0,,,,17.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,15.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,15.0,,20.0,,,,,,,,,,,19.0,,,,,,,19.0,,,20.0,,,20.0,,,,,,,,,,,,,,,,,,,
20.61,Enemy (From the series Arcane League of Legends),"Imagine Dragons, Arcane & League of Legends",,13,False,17.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,10.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,17.0,,17.0,,,,19.0,,,,,,,,,,
20.62,Fumando Mota,Los Lara,,9,False,10.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,3.0,,
20.64,Bad Habits,Ed Sheeran,,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,19.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,17.0,,,,,,,,,,13.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.65,Beautiful Lies,Yung Bleu & Kehlani,,13,False,,,,,,14.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,19.0,,,,15.0,,,,,,,,,15.0,,,,,,,,,,,11.0,,,,,,12.0,,,,,,18.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,20.0,,15.0,,,,,,,
20.68,Chosen,Blxst & Tyga Feat. Ty Dolla $ign,,10,False,,12.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,19.0,,,,,,10.0,,,,,,,16.0,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,
20.71,Love Nwantiti (Ah Ah Ah),CKay,,8,False,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
20.73,Baddest Boy,Skiibii,,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,7.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,
20.75,INDUSTRY BABY,Lil Nas X & Jack Harlow,,7,False,,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,13.0,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.75,GHOST TOWN,Benson Boone,,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,11.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.76,Mujeriego,Ryan Castro,,7,False,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,9.0,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.76,Si Te Pudiera Mentir,Calibre 50,,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
20.76,Good Morning Gorgeous,Mary J. Blige,,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,15.0,,,,,,20.0,,,,,,,,,,,,,,15.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,20.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.76,If,Jo Stafford,,8,False,,,,,,,,,,,,,16.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,20.0,,,,,,,,,,,,,,,12.0,,,11.0,,,,,,,,,,,,,,,,
20.76,When I R.I.P.,Labrinth,,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
20.77,Worst Kind of Hurt (Film Version),Wrabel & Laura Marano,,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,
20.78,To Be Loved By You,Parker McCollum,,6,False,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.78,TO THE MOON,Jnr Choi,,8,False,,,,,20.0,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,17.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,9.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.78,Sand In My Boots,Morgan Wallen,,5,False,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.8,Break My Heart Again,Danielle Bradbery,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.81,I Like Me Better,Lauv,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.81,Happier Than Ever,Billie Eilish,,3,False,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.81,Have Mercy,Chlöe,,8,False,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,19.0,,15.0,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,
20.82,All For Us (From The HBO Original Series Euphoria),Labrinth & Zendaya,,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.82,Nadie Va Pensar En Ti Mejor Que Yo,Conjunto Rienda Real,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.83,El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni",,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.83,Ameno Amapiano Remix (You Wanna Bamba),Goya Menor & Nektunez,,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,10.0,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.83,Tacones Rojos,Sebastián Yatra,,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.84,Lose All Control,swayze ♪ Feat. Clara La San,,4,False,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.84,Pop Music,2 Chainz Feat. Moneybagg Yo & Beatking,,4,False,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.84,Stay,The Kid LAROI & Justin Bieber,,9,False,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
20.85,Breakdown,Tom Petty & The Heartbreakers,,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,17.0,,,,,,,,,9.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.86,I Love You So,The Walters,,5,False,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.86,pushin P,Gunna & Future Feat. Young Thug,,5,False,,,,,,,,,,,17.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.86,Maps,Maroon 5,,2,False,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.87,Coming Home,The Green,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.87,Todo De Ti,Rauw Alejandro,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.87,Softcore,The Neighbourhood,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.88,Dance With You,Grey & Laura Marano,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
20.88,Thinking 'Bout You,Dustin Lynch Feat. MacKenzie Porter,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.88,Otra Noche,Los Ángeles Azules & Nicki Nicole,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.88,You Never Know,Bruddah Waltah Feat. Ryan Hiraoka,,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.89,Fancy Like,Walker Hayes,,2,False,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.89,Broadway Girls,Lil Durk Feat. Morgan Wallen,,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
